dog_whistle_root,n_canonical,canonical_forms,n_occurrences,ingroup,definition
#GenderWooWoo,1,gender woo woo,11,transphobic,Trans people want to escape reality
109,2,109 | 110,8,antisemitic,Antisemitic signal that is a reference to number of countries Jews have been expelled from
1290,1,1290,1,antisemitic,Antisemitic signal that is a reference to the year Jews were expelled from England
13%,3,13% | 13/50 | 13/52,52,racist,Racist signal that is a reference to the false statistic that African Americans are only 13% of the US population but commit a disproprotionate number of violent crimes
1488,5,14 words | 14/88 | 1488 | 88 | HH,105,white supremacist,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
41%,2,41 | 41%,11,transphobic,"Transphobic reference to statistic that 41% of trans people have attempted suicide, often used to imply trans people should kill themselves"
A Leppo,1,A Leppo,4,white supremacist,Libertarian
abolish birthright citizenship,1,end birthright citizenship,24,anti-Latino,We should have fewer Latinos in the US
absent fathers,3,absent father | absentee father | lack of fathers,29,racist,Black men are irresponsible
actual woman,2,actual woman | actual women,42,transphobic,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
adult human female,2,adult human female | adult human females,36,transphobic,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
AFAB trans woman,1,AFAB trans woman,2,transphobic,Transphobic joke that a cis woman can claim to identify as a trans woman
affirmative action,1,affirmative action,39,racist,White people are victims of racial mistreatment
agender,1,agender,6,transphobic,Gender isn't real
Aiden,1,Aiden,3,transphobic,Trans man
alarmism,2,alarmism | climate alarmism,67,climate change denier,People are overreacting about climate change being a problem
alarmist,4,alarmist | alarmists | climate alarmist | climate alarmists,134,climate change denier,"Person who is overreacting about climate change, which the speaker does not view as a major problem"
All Lives Matter,3,#alllivesmatter | ALM | All Lives Matter,18,racist,Black lives don't matter
alt-right,3,alt-right | alternative right | dissident right,49,white supremacist,White supremacist
America First,2,#AmericaFirst | America First,18,antisemitic,We need to protect ourselves from Jewish influence
Amerimutt,3,56% | Amerimutt | La Creatura,47,white supremacist,Americans aren't really white
Amish,1,Amish,9,racist,The perpetrator is exactly the demographic you expect
anchor babies,2,anchor babies | anchor baby,48,anti-Latino,Mexicans are manipulating the immigration system
anointed,2,anointed | anointing,18,religious,I believe in and practice Pentecostal Christian beliefs
attacks on or imagery of Jewish financial leaders,2,Janet Yellen | Lloyd Blankfein,8,antisemitic,Jewish people control all the money
attacks on or imagery of Jewish political leaders,2,Bernie Sanders | Volodymyr Zelensky,2,antisemitic,Jewish people control world politics
autoandrophile,1,AAP,2,transphobic,Trans man
autoandrophilia,1,autoandrophilia,4,transphobic,Trans men are just women who have a fetish for being viewed as men
autogynephile,6,AGP | AGPs | autogynephile | autogynephiles | autogynophile | autogynophiles,176,transphobic,Trans woman
autogynephilia,2,autogynephilia | autogynophilia,30,transphobic,Trans women are just men who have a fetish for being viewed as women
baby daddies,2,baby daddies | baby daddy,23,racist,Black men are irresponsible
baby mama,4,baby mama | baby mamas | baby momma | baby mommas,27,racist,Black women are irresponsible
Back the Blue,1,Back the Blue,7,racist,Enforce white supremacy
balance the budget,2,balance the budget | balancing the budget,20,conservative,Cut public services and aid to vulnerable populations
bankers,2,banker | bankers,22,antisemitic,Jewish people
banksters,2,bankster | banksters,27,antisemitic,Jewish people
Barack Hussein Obama,2,Barack Hussein | Hussein Obama,54,Islamophobic,Obama has a connection to Islam and is therefore threatening and untrustworthy
based,1,based,178,white supremacist,Endorsement of someone promoting racism or other bigotry
bear emoji,2,bear emoji | 🐻,11,white supremacist,White supremacist signal representing ans of who is a fan of far-right internet personality Owen Benjamin
beta,2,beta | beta male,156,white supremacist,Liberal men
big government,1,big government,28,conservative,Federal assistance
big pharma,1,big pharma,41,anti-vax,Evil pharmaceutical companies sell poison for profit
Bing,1,Bing,5,anti-Asian,Asian person
biological man,5,biological male | biological males | biological man | biological men | natal men,79,transphobic,Cisgender man
biological realism,2,biological realism | biological reality,32,transphobic,Trans people aren't real
biological realist,1,biological realist,1,transphobic,Signal that the speaker doesn't believe that trans people are real
biological woman,6,biological female | biological females | biological woman | biological women | natal woman | natal women,93,transphobic,Cisgender woman
bix nood,1,bix nood,17,racist,mock-AAVE to make fun of Black people
black and orange square emojis,1,Super Straight,27,transphobic,Signal that the speaker is straight and cisgender and would not date a transgender person
black-on-black crime,6,black on black crime | black on black homicide | black on black violence | black-on-black crime | black-on-black homicide | black-on-black violence,94,racist,Black people are criminals
Blue Lives Matter,2,#BlueLivesMatter | Blue Lives Matter,16,racist,Black lives don't matter
blueish,3,blue | blueish | bluish,21,antisemitic,Jewish
Boogaloo,5,big igloo | big luau | boogalo | boogaloo | the Hawaiian shirt,66,white supremacist,Race war
bop,3,bop | bopped | bops,11,white supremacist,"Kill or attack, particularly political opponents"
brave and stunning,1,brave and stunning,65,transphobic,Trans women are showered with undue praise just for existing
broken family,4,broken families | broken family | broken home | broken homes,33,racist,Black families are dysfunctional
bugman,2,bugman | bugmen,47,anti-liberal,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
burning coal,5,burn coal | burn the coal | burned coal | burning coal | burns coal,73,racist,White woman having sex with a Black man
butterfly,2,butterflies | butterfly,5,homophobic,Gay man
cabal,5,banking cabal | cabal | elitist cabal | global cabal | shadowy cabal,100,antisemitic,Powerful group of Jewish people who control the world
car salesman,2,car salesman | car salesmen,7,anti-liberal,Liberal
Carolus Rex,3,Carolus Rex | Charles XII | Karl XII,10,white supremacist,White supremacist signal referring to a former king of Sweden long ideolized by far-right groups
centipede,6,centipede | centipedes | nimble navigator | nimble navigators | pede | pedes,431,white supremacist,Trump supporter
central bankers,2,central banker | central bankers,22,antisemitic,Jewish people who control all the money
checkered flag emoji,1,🏁,3,transphobic,Transphobic signal representing idea that there are only two sexes
cherry emoji,1,🍒,3,transphobic,"Transphobic signal representing Joanna Cherry, an anti-trans activist and Scottish politician"
China Virus,3,China Virus | Kung Flu | Wuhan Virus,58,anti-Asian,Chinese people are infectious diseases and to blame for covid
cleaning up our streets,1,clean up our streets,3,racist,over-policing of Black and Latino neighborhoods and mass incarceration of their residents
Clown World,3,Clown World | Honkler | 🤡 🌎,96,white supremacist,White supremacist signal originating in 4chan troll meme that clowns are racist
clownfish,1,clownfish,10,transphobic,Trans people are ridiculous for thinking that humans can change sex
coal burner,4,coal burner | coal burners | mud shark | mud sharks,97,racist,white women who have sexwith black men
coastal elite,2,coastal elite | coastal elites,28,antisemitic,Jewish people
COIN,3,COIN | COINing | co-opting intersex narratives,8,transphobic,Trans people are liars who appropriate intersex people's struggles
coincidence,4,Cohencidence | Cohencidences | coincidence | coincidences,45,antisemitic,Jewish conspiracy
colorblind,4,color-blind society | colorblind | colorblindness | don't see color,61,racist,Opposition to race-based affirmative action
controlled media,2,controlled media | media control,25,antisemitic,Jewish people control the media
cosmopolitan,2,cosmopolitan | cosmopolitans,27,antisemitic,Jewish
cosmopolitan elite,1,cosmopolitan elite,4,antisemitic,Jewish
critical race theory,2,CRT | critical race theory,42,racist,Teaching anything about race and American history
cuck,6,cuck | cuckold | cuckolds | cucks | cuckservative | cuckservatives,385,white supremacist,liberal or establishment Republican men
cultural enrichment,1,cultural enrichment,43,Islamophobic,Muslims create problems in society
cultural Marxism,1,cultural Marxism,31,antisemitic,Jewish people are upending society
cultural Marxists,1,cultural Marxist,33,antisemitic,Jewish people are upending society
cut taxes,4,cut taxes | cutting taxes | tax cut | tax cuts,30,racist,Don't spend tax money on minorities
deadbeat dad,4,deadbeat | deadbeat dad | deadbeat dads | deadbeats,14,racist,Black men are irresponsible
deep state,1,deep state,12,antisemitic,Jewish people are manipulating and controlling the government
